"","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","elev","presence"
"619",14,7,0,546,26,3,23,8,1043,1
"620",18,8,0,546,30,6,24,19,85,1
"621",17,6,0,521,28,7,21,19,229,1
"622",13,10,0,569,27,1,27,13,976,1
"623",13,10,0,571,28,1,27,14,864,1
"624",18,4,0,424,27,10,16,14,109,1
"625",18,8,0,541,29,7,23,19,78,1
"626",17,10,0,571,30,4,26,18,264,1
"627",16,8,0,534,27,5,22,17,350,1
"628",15,8,0,547,27,4,23,16,572,1
"629",18,8,0,528,29,7,22,19,40,1
"630",18,8,0,528,29,7,22,19,85,1
"631",18,8,0,528,30,7,22,19,21,1
"632",18,8,0,532,30,7,23,19,21,1
"633",15,9,0,546,28,4,24,16,460,1
"634",16,9,0,544,28,4,24,17,399,1
"635",13,10,0,593,27,0,27,13,1078,1
"636",13,10,0,593,28,1,27,14,1063,1
"637",17,9,0,560,30,5,24,18,214,1
"638",17,10,0,590,31,4,27,17,351,1
"639",17,10,0,587,31,4,27,17,362,1
"640",17,10,0,591,31,4,28,17,360,1
"641",16,11,0,602,31,3,28,16,524,1
"642",16,10,0,591,31,4,27,17,417,1
"643",14,11,0,634,30,0,30,8,994,1
"644",18,8,0,546,30,6,24,19,97,1
"645",16,10,0,574,30,3,27,17,394,1
"646",17,10,0,566,30,5,26,18,198,1
"647",15,11,0,595,30,2,28,16,587,1
"648",15,11,0,594,31,3,28,16,544,1
"649",16,11,0,589,31,3,28,16,462,1
"650",16,11,0,586,31,3,28,17,420,1
"651",16,11,0,584,31,4,28,17,330,1
"652",16,11,0,586,31,3,28,17,427,1
"653",16,11,0,592,31,3,28,16,479,1
"654",16,11,0,588,31,3,28,16,472,1
"655",16,11,0,593,31,3,28,16,503,1
"656",17,11,0,585,31,4,28,17,331,1
"657",16,11,0,589,31,3,28,16,499,1
"658",16,11,0,585,31,3,28,17,362,1
"659",17,11,0,585,31,4,28,17,311,1
"660",15,11,0,591,30,2,28,16,568,1
"661",16,11,0,588,31,3,28,17,443,1
"662",16,11,0,587,31,3,28,17,394,1
"663",17,8,0,541,29,6,23,18,255,1
"664",14,10,0,569,29,2,27,15,688,1
"665",15,11,0,572,30,3,27,16,494,1
"666",15,10,0,566,30,3,26,16,506,1
"667",16,11,0,571,30,3,27,16,446,1
"668",15,11,0,573,30,3,27,16,537,1
"669",15,11,0,570,30,3,27,16,571,1
"670",16,11,0,571,30,3,27,16,436,1
"671",16,11,0,570,30,4,27,17,397,1
"672",16,11,0,570,30,3,27,16,445,1
"673",15,11,0,573,30,3,27,16,502,1
"674",17,9,0,563,30,5,25,18,285,1
"675",14,11,0,582,29,1,27,10,803,1
"676",14,11,0,581,29,2,27,15,736,1
"677",14,11,0,580,29,2,27,15,745,1
"678",14,11,0,582,29,2,27,15,751,1
"679",16,8,0,550,28,4,24,17,403,1
"680",13,10,0,597,28,0,27,13,1078,1
"681",16,9,0,551,28,4,24,17,404,1
"682",13,11,0,601,29,1,28,14,926,1
"683",15,8,0,564,27,4,24,16,629,1
"684",16,9,0,550,28,4,24,17,362,1
"685",14,9,0,564,27,3,25,15,664,1
"686",15,9,0,558,28,3,25,16,535,1
"687",15,9,0,559,28,3,25,16,584,1
"688",16,9,0,565,29,4,25,17,439,1
"689",16,7,0,532,28,6,22,18,398,1
"690",16,7,0,532,28,6,22,17,430,1
"691",17,6,0,509,28,7,21,19,166,1
"692",13,11,0,584,28,0,27,9,973,1
"693",15,11,0,584,30,3,28,12,513,1
"694",16,9,0,526,29,5,24,11,440,1
"695",17,8,0,539,29,6,23,18,237,1
"696",17,10,0,579,31,4,27,18,314,1
"697",18,7,0,528,29,7,22,19,17,1
"698",18,7,0,531,29,7,22,19,46,1
"699",15,9,0,576,28,3,26,15,692,1
"700",18,8,0,536,30,7,24,19,160,1
"701",18,9,0,548,30,6,24,19,238,1
"702",17,10,0,569,30,5,26,18,317,1
"703",17,10,0,571,31,5,26,18,248,1
"704",17,10,0,568,30,5,26,18,283,1
"705",17,9,0,555,29,5,24,18,327,1
"706",16,9,0,561,29,4,25,17,428,1
"707",17,9,0,553,30,5,24,18,289,1
"708",16,9,0,563,29,4,25,17,400,1
"709",17,9,0,560,30,5,25,18,316,1
"710",17,10,0,550,30,5,25,18,120,1
"711",17,10,0,552,30,5,25,18,156,1
"712",14,10,0,593,29,1,27,15,883,1
"713",17,8,0,520,28,6,22,19,63,1
"714",18,7,0,507,28,7,21,19,30,1
"715",18,7,0,508,28,7,21,19,37,1
"716",18,7,0,502,28,8,20,19,7,1
"717",17,7,0,510,28,7,21,19,57,1
"718",17,7,0,510,28,7,21,19,75,1
"719",17,7,0,511,28,7,21,19,64,1
"720",18,7,0,506,28,8,21,19,15,1
"721",18,7,0,507,28,7,21,19,26,1
"722",15,11,0,606,30,2,28,16,671,1
"723",16,11,0,603,31,3,28,17,474,1
"724",14,11,0,594,29,1,28,14,805,1
"725",17,10,0,557,30,5,26,18,232,1
"726",18,8,0,533,29,7,23,19,63,1
"727",18,8,0,531,29,7,22,19,34,1
"728",18,8,0,535,30,7,23,19,67,1
"729",17,8,0,546,29,6,23,18,258,1
"730",13,9,0,557,27,2,25,14,786,1
"731",14,9,0,556,27,3,25,15,662,1
"732",14,10,0,602,29,1,28,14,952,1
"733",12,9,0,554,25,0,24,12,1053,1
"734",17,8,0,534,29,7,23,19,132,1
"735",14,10,0,587,29,2,27,15,819,1
"736",14,10,0,586,28,2,27,15,860,1
"737",14,10,0,588,29,2,27,15,806,1
"738",13,11,0,582,28,1,27,10,883,1
"739",13,11,0,582,28,1,27,10,872,1
"740",13,11,0,582,28,1,27,10,857,1
"741",13,11,0,582,28,1,27,10,914,1
"742",13,11,0,584,28,1,27,9,958,1
"743",13,10,0,592,27,0,27,13,1121,1
"744",16,9,0,563,29,4,25,17,411,1
"745",14,10,0,587,29,2,27,15,787,1
"746",13,11,0,584,28,1,27,10,919,1
"747",17,9,0,549,30,5,24,18,156,1
"748",17,9,0,548,30,6,24,18,127,1
"749",17,9,0,549,30,5,24,18,144,1
"750",17,9,0,541,29,5,24,18,214,1
"751",16,10,0,545,29,4,25,17,275,1
"752",16,10,0,544,29,5,24,17,282,1
"753",16,10,0,549,29,4,25,17,309,1
"754",17,8,0,530,29,7,22,19,148,1
"755",17,8,0,533,29,6,23,18,213,1
"756",17,8,0,532,29,6,22,18,204,1
"757",17,8,0,530,29,6,22,18,206,1
"758",17,8,0,526,29,7,22,19,140,1
"759",17,8,0,534,29,6,22,18,246,1
"760",17,8,0,526,29,7,22,19,140,1
"761",17,9,0,537,28,5,23,18,171,1
"762",17,9,0,534,29,5,23,18,154,1
"763",17,9,0,534,28,5,23,18,143,1
"764",17,9,0,539,29,5,24,18,189,1
"765",17,9,0,540,29,5,24,18,189,1
"766",17,9,0,541,29,5,24,18,180,1
"767",17,9,0,541,29,5,24,18,192,1
"768",15,10,0,560,28,3,26,16,548,1
"769",16,10,0,557,29,3,26,16,466,1
"770",16,10,0,558,29,4,26,17,430,1
"771",16,10,0,553,29,4,25,17,335,1
"772",16,10,0,556,29,4,26,17,420,1
"773",16,10,0,557,29,4,25,17,407,1
"774",17,10,0,552,30,5,25,18,154,1
"775",17,10,0,552,30,5,25,18,166,1
"776",17,10,0,552,30,5,25,18,184,1
"777",17,10,0,565,31,4,26,17,297,1
"778",17,10,0,554,31,5,26,18,148,1
"779",16,10,0,565,30,4,26,17,337,1
"780",16,10,0,562,31,4,26,17,306,1
"781",17,10,0,562,30,4,26,17,292,1
"782",16,10,0,567,30,4,26,17,368,1
"783",16,11,0,579,31,3,27,17,402,1
"784",16,10,0,562,30,4,26,17,301,1
"785",17,7,0,527,28,7,22,18,272,1
"786",17,7,0,527,28,7,22,18,261,1
"787",15,11,0,582,30,3,27,16,493,1
"788",16,11,0,588,31,4,28,17,320,1
"789",16,11,0,585,31,4,28,17,354,1
"790",16,11,0,582,31,3,27,17,381,1
"791",17,11,0,583,31,4,28,17,274,1
"792",16,11,0,590,31,3,28,16,495,1
"793",16,11,0,587,31,3,28,16,486,1
"794",16,11,0,587,31,3,28,17,416,1
"795",18,8,0,542,30,7,23,19,61,1
"796",16,10,0,548,29,4,25,17,282,1
"797",15,11,0,619,31,3,29,12,542,1
"798",15,11,0,617,31,2,29,11,613,1
"799",15,11,0,617,31,2,29,11,648,1
"800",15,11,0,619,31,2,29,11,658,1
"801",15,11,0,618,31,2,29,11,653,1
"802",15,11,0,617,31,3,29,12,545,1
"804",15,11,0,620,31,2,29,15,654,1
"805",15,11,0,621,30,2,29,15,699,1
"806",15,11,0,623,31,2,29,11,615,1
"807",15,11,0,623,31,2,29,11,590,1
"808",15,11,0,621,31,2,29,11,681,1
"809",14,11,0,620,30,2,29,15,725,1
"810",15,11,0,621,30,2,29,15,701,1
"811",17,6,0,507,28,8,20,19,189,1
"812",18,6,0,498,29,9,20,20,61,1
"813",17,6,0,516,28,8,21,19,206,1
"814",17,6,0,522,28,7,21,18,318,1
"815",17,6,0,518,28,7,21,19,238,1
"817",14,10,0,599,29,1,28,14,938,1
"818",17,9,0,549,29,5,24,18,232,1
"819",17,9,0,554,30,6,24,18,148,1
"820",18,9,0,552,30,6,24,19,104,1
"821",16,10,0,562,30,4,26,17,323,1
"822",16,10,0,563,30,4,26,17,340,1
"823",16,10,0,560,29,3,26,16,466,1
"824",16,10,0,559,30,4,26,17,374,1
"825",16,10,0,562,30,4,26,17,365,1
"826",16,10,0,561,30,3,26,16,426,1
"827",15,10,0,564,29,3,26,15,605,1
"828",15,10,0,563,29,3,26,16,510,1
"829",16,10,0,562,30,3,26,17,418,1
"830",16,10,0,560,30,4,26,17,373,1
"831",17,10,0,562,31,5,26,18,132,1
"832",17,10,0,564,31,5,26,18,174,1
"833",15,10,0,564,30,3,26,16,489,1
"834",17,10,0,557,31,5,26,18,208,1
"835",17,10,0,560,30,4,26,17,274,1
"836",17,10,0,561,31,4,26,17,268,1
"837",16,10,0,562,30,4,26,17,300,1
"838",17,10,0,558,31,5,26,18,223,1
"839",17,10,0,556,31,5,26,18,218,1
"840",17,10,0,558,31,5,26,18,219,1
"841",17,10,0,556,30,5,26,18,219,1
"842",17,10,0,559,31,4,26,18,254,1
"843",17,10,0,560,31,5,26,18,219,1
"844",17,10,0,559,31,5,26,18,236,1
"845",17,10,0,558,31,5,26,18,199,1
"846",16,10,0,568,30,3,27,17,421,1
"847",16,10,0,567,30,4,27,17,405,1
"848",16,10,0,568,30,3,27,16,457,1
"849",16,11,0,567,30,3,27,16,431,1
"850",16,11,0,568,30,3,27,16,432,1
"851",17,11,0,575,31,4,27,18,243,1
"852",16,11,0,575,30,3,27,17,407,1
"853",17,11,0,578,31,4,27,17,273,1
"854",16,10,0,562,31,3,27,13,473,1
"855",17,10,0,562,30,4,26,18,268,1
"856",17,10,0,562,30,4,26,18,260,1
"857",17,9,0,552,30,5,25,18,169,1
"858",16,11,0,582,31,4,27,17,344,1
"859",15,11,0,584,30,3,27,16,517,1
"860",16,11,0,583,31,4,28,17,335,1
"861",16,11,0,588,31,4,28,17,338,1
"862",16,11,0,590,31,4,28,17,344,1
"863",16,11,0,590,31,3,28,12,426,1
"864",16,11,0,590,31,4,28,17,360,1
"865",16,11,0,585,30,3,28,16,479,1
"866",17,9,0,550,30,6,24,18,147,1
"867",17,9,0,553,30,5,25,18,218,1
"868",17,9,0,553,30,5,25,18,202,1
"869",17,11,0,572,31,4,27,18,216,1
"870",16,11,0,610,31,3,28,17,416,1
"871",16,10,0,613,31,3,28,17,420,1
"872",15,10,0,612,31,2,28,16,504,1
"873",15,11,0,577,30,3,27,16,568,1
"874",15,11,0,579,29,2,27,15,611,1
"875",15,11,0,576,30,3,27,16,548,1
"876",14,11,0,579,29,2,27,15,707,1
"877",17,9,0,551,30,6,25,18,135,1
"878",17,9,0,552,30,5,25,18,213,1
"879",18,9,0,550,30,6,24,19,102,1
"880",17,10,0,550,30,5,25,18,198,1
"881",17,9,0,550,30,5,25,18,195,1
"882",18,10,0,575,32,5,27,19,258,1
"883",14,10,0,593,29,1,27,14,886,1
"884",14,10,0,594,29,2,27,15,797,1
"885",14,10,0,592,29,1,27,15,861,1
"886",14,10,0,592,29,1,27,15,854,1
"887",17,10,0,567,30,4,26,17,281,1
"888",17,10,0,565,31,4,26,18,220,1
"889",16,10,0,570,30,4,27,17,365,1
"890",17,10,0,566,31,4,26,17,255,1
"891",18,7,0,540,29,7,22,19,71,1
"892",13,10,0,596,28,1,28,14,944,1
"893",13,10,0,596,28,1,28,14,942,1
"894",13,10,0,599,28,1,28,14,980,1
"895",13,10,0,597,28,1,28,14,992,1
"896",14,10,0,590,29,2,27,15,848,1
"897",13,10,0,592,28,1,27,14,931,1
"898",18,8,0,542,29,7,23,19,96,1
"899",13,10,0,592,28,1,27,14,943,1
"900",14,10,0,591,28,1,27,14,901,1
"901",13,10,0,597,28,1,28,14,1028,1
"902",16,11,0,595,31,3,28,17,498,1
"903",17,10,0,564,31,5,26,18,180,1
"904",17,10,0,565,31,4,26,18,219,1
"905",17,10,0,568,31,4,26,18,249,1
"906",16,10,0,569,30,4,26,17,289,1
"907",17,10,0,570,30,4,26,17,275,1
"908",17,10,0,564,31,4,26,18,189,1
"909",16,10,0,593,31,4,27,17,508,1
"910",15,11,0,608,30,2,28,15,831,1
"911",16,10,0,596,31,4,27,17,486,1
"912",17,10,0,582,31,4,27,18,352,1
"913",17,10,0,581,31,4,27,18,365,1
"914",14,11,0,613,30,1,28,10,792,1
"915",14,11,0,612,30,1,28,10,806,1
"916",14,11,0,613,29,1,28,10,832,1
"917",13,11,0,608,29,0,28,9,949,1
"918",15,11,0,611,30,2,28,11,671,1
"919",15,11,0,613,30,2,28,11,679,1
"920",17,8,0,550,30,6,24,19,135,1
"921",18,8,0,547,30,6,24,19,121,1
"922",18,8,0,548,30,6,24,19,113,1
"923",17,8,0,549,30,6,24,18,139,1
"924",17,10,0,582,31,5,27,18,324,1
"925",17,10,0,593,31,4,27,17,442,1
"926",16,10,0,592,31,4,27,17,500,1
"927",17,10,0,593,31,4,27,18,427,1
"928",17,10,0,569,31,5,26,18,314,1
"929",16,10,0,597,31,3,27,17,576,1
"930",17,10,0,582,31,4,27,18,415,1
"931",15,10,0,564,29,3,26,16,492,1
"932",15,10,0,565,29,3,26,16,522,1
"933",15,10,0,565,29,3,26,16,540,1
"934",15,10,0,565,29,3,26,16,544,1
"935",14,10,0,563,28,2,26,15,655,1
"936",13,8,0,571,26,2,24,14,1038,1
"937",15,8,0,550,27,5,23,16,554,1
"938",15,8,0,553,28,4,23,16,546,1
"939",16,8,0,544,29,5,23,17,353,1
"940",17,10,0,566,31,5,26,18,312,1
"941",15,10,0,558,29,3,26,16,466,1
"942",16,10,0,560,29,3,26,16,444,1
"943",15,10,0,560,29,3,26,16,469,1
"944",15,10,0,560,29,3,26,16,482,1
"945",16,10,0,562,29,3,26,16,454,1
"946",15,10,0,560,29,3,26,16,498,1
"947",15,10,0,557,29,3,26,16,540,1
"948",16,9,0,546,29,4,24,17,340,1
"949",16,9,0,544,29,4,24,17,300,1
"950",16,10,0,550,29,4,25,17,286,1
"951",16,9,0,549,29,4,25,17,253,1
"952",16,11,0,598,31,3,28,17,491,1
"953",17,9,0,551,30,5,25,18,128,1
"954",17,8,0,546,29,6,23,18,136,1
"955",17,8,0,546,29,6,24,18,140,1
"956",17,9,0,550,30,5,25,18,168,1
"957",17,9,0,549,30,6,25,18,131,1
"958",18,9,0,548,30,6,25,18,111,1
"959",17,9,0,549,30,5,25,18,149,1
"960",17,9,0,551,30,5,25,18,175,1
"961",16,10,0,560,30,4,26,17,330,1
"962",17,10,0,551,30,5,25,18,200,1
"963",17,10,0,553,30,5,25,18,206,1
"964",16,10,0,557,30,4,26,17,299,1
"965",18,7,0,542,29,7,22,19,85,1
"966",18,8,0,543,29,6,23,19,108,1
"967",17,9,0,549,29,5,24,18,203,1
"968",17,9,0,546,30,6,24,18,151,1
"969",17,9,0,547,30,6,24,18,146,1
"970",17,9,0,546,30,6,24,18,133,1
"971",17,10,0,555,30,4,26,17,285,1
"972",16,10,0,556,29,4,26,17,368,1
"973",15,10,0,558,29,3,26,16,486,1
"974",16,10,0,559,29,3,26,16,427,1
"975",16,10,0,557,30,4,26,17,308,1
"976",16,10,0,555,30,4,26,17,336,1
"977",16,10,0,555,29,4,25,17,312,1
"978",18,9,0,545,30,6,24,19,89,1
"979",18,8,0,545,29,6,23,19,119,1
"980",17,8,0,543,29,6,23,19,129,1
"981",18,8,0,544,29,6,23,19,126,1
"982",18,8,0,526,29,7,22,19,88,1
"983",17,8,0,529,28,7,22,19,116,1
"984",17,7,0,530,28,6,22,18,144,1
"985",17,8,0,536,28,6,22,18,174,1
"986",17,8,0,531,28,6,22,19,128,1
"987",18,8,0,545,29,6,23,19,131,1
"988",18,8,0,543,29,6,23,19,125,1
"989",18,8,0,545,29,6,23,19,112,1
"990",18,8,0,545,29,6,23,19,105,1
"991",18,8,0,543,29,6,23,19,106,1
"992",18,8,0,544,29,6,23,19,99,1
"993",18,8,0,544,29,6,23,19,92,1
"994",19,6,0,471,29,10,19,17,11,1
"995",19,6,0,477,29,9,20,17,51,1
"996",15,10,0,565,29,3,26,15,581,1
"997",15,10,0,564,29,3,26,16,561,1
"998",15,10,0,566,29,3,26,16,476,1
"999",15,10,0,568,29,3,26,16,493,1
"1000",14,10,0,565,28,3,26,15,634,1
"1001",17,10,0,555,30,5,25,18,230,1
"1002",17,10,0,559,30,4,26,18,253,1
"1003",17,10,0,557,30,4,26,18,244,1
"1004",17,10,0,554,30,5,25,18,234,1
"1005",17,10,0,553,30,5,25,18,238,1
"1006",16,10,0,555,30,4,25,17,302,1
"1007",18,11,0,571,32,5,27,19,220,1
"1008",17,9,0,541,29,5,24,18,210,1
"1009",16,9,0,544,29,5,24,17,282,1
"1010",17,9,0,541,29,5,24,18,256,1
"1011",16,9,0,542,29,5,24,17,278,1
"1012",17,9,0,541,29,5,24,18,240,1
"1013",17,9,0,543,29,5,24,18,260,1
"1014",16,10,0,548,29,4,25,17,312,1
"1015",16,10,0,548,29,4,25,17,332,1
"1016",16,10,0,550,29,4,25,17,351,1
"1017",17,10,0,547,29,4,25,17,266,1
"1018",17,9,0,544,29,5,24,17,273,1
"1019",15,9,0,556,28,4,24,16,489,1
"1020",16,9,0,551,28,4,24,17,406,1
"1021",17,9,0,544,29,5,24,18,247,1
"1022",15,9,0,554,28,4,24,16,501,1
"1023",16,9,0,549,29,4,24,17,330,1
"1024",16,9,0,542,29,5,24,17,273,1
"1025",16,10,0,551,29,4,25,17,387,1
"1026",15,9,0,569,28,3,25,16,665,1
"1027",18,12,0,582,32,4,28,19,184,1
"1028",17,10,0,589,31,4,27,17,443,1
"1029",18,8,0,548,30,6,24,19,108,1
"1030",18,8,0,547,30,6,24,19,100,1
"1031",18,8,0,545,30,6,23,19,89,1
"1032",18,8,0,547,30,6,23,19,83,1
"1033",18,8,0,546,30,6,23,19,110,1
"1034",18,9,0,547,30,6,24,19,104,1
"1035",18,9,0,547,30,6,24,19,94,1
"1036",18,9,0,545,30,6,24,19,92,1
"1037",17,9,0,548,29,5,24,18,228,1
"1038",17,9,0,552,30,5,24,18,179,1
"1039",18,9,0,550,30,6,24,19,128,1
"1040",17,9,0,550,30,6,25,18,124,1
"1041",17,9,0,550,30,6,24,18,133,1
"1042",17,9,0,546,30,6,24,18,129,1
"1043",18,9,0,544,30,6,24,19,116,1
"1044",17,9,0,545,30,6,24,18,128,1
"1045",17,9,0,545,30,6,24,18,128,1
"1046",18,8,0,545,30,6,24,19,110,1
"1047",17,8,0,546,30,6,24,19,130,1
"1048",18,8,0,544,29,6,23,19,118,1
"1049",17,9,0,546,30,6,24,18,124,1
"1050",18,9,0,548,30,6,24,19,119,1
"1051",18,9,0,547,30,6,24,19,101,1
"1052",18,9,0,546,30,6,24,19,112,1
"1053",18,9,0,547,30,6,24,19,103,1
"1054",16,10,0,596,30,3,28,16,636,1
"1055",17,10,0,579,32,5,27,18,308,1
"1056",18,8,0,544,29,6,23,19,105,1
"1057",18,8,0,546,29,6,23,19,119,1
"1058",18,8,0,543,29,6,23,19,109,1
"1059",18,8,0,545,29,6,23,19,112,1
"1060",15,10,0,561,29,2,26,15,620,1
"1061",14,10,0,562,28,2,26,15,688,1
"1062",13,10,0,564,27,1,26,14,850,1
"1063",13,10,0,564,28,1,26,14,831,1
"1064",13,10,0,564,28,1,26,14,826,1
"1065",14,10,0,561,28,2,26,15,734,1
"1066",14,10,0,561,28,2,26,15,667,1
"1067",14,10,0,564,28,2,26,15,760,1
"1068",14,10,0,564,28,2,26,15,744,1
"1069",14,10,0,563,28,2,26,15,754,1
"1070",13,10,0,562,27,1,26,14,864,1
"1071",14,10,0,562,28,2,26,15,696,1
"1072",13,10,0,564,28,1,26,14,830,1
"1073",18,8,0,547,29,6,23,19,119,1
"1074",17,9,0,545,29,5,24,18,231,1
"1075",17,8,0,545,29,6,24,18,187,1
"1076",17,9,0,546,29,5,24,18,195,1
"1077",17,9,0,546,29,5,24,18,209,1
"1078",17,9,0,544,29,6,24,18,153,1
"1079",17,9,0,544,29,6,24,18,136,1
"1080",17,9,0,545,29,6,24,18,158,1
"1081",15,11,0,617,31,2,28,16,709,1
"1082",16,11,0,600,31,3,28,17,583,1
"1083",14,10,0,568,28,2,26,15,669,1
"1084",15,10,0,565,29,2,26,15,630,1
"1085",14,10,0,569,28,2,26,15,727,1
"1086",13,10,0,569,28,1,26,14,863,1
"1087",14,10,0,566,28,2,26,15,665,1
"1088",14,10,0,568,28,2,26,15,687,1
"1089",14,10,0,566,28,2,26,15,652,1
"1090",14,10,0,568,28,2,26,15,709,1
"1091",14,10,0,570,28,2,26,15,740,1
"1092",17,8,0,541,29,6,23,18,175,1
"1093",17,8,0,541,29,6,23,18,192,1
"1094",16,6,0,470,26,7,20,11,489,1
"1095",17,9,0,549,30,6,24,18,135,1
"1096",18,9,0,548,30,6,24,19,110,1
"1097",17,10,0,554,30,5,25,18,184,1
"1098",17,10,0,552,30,5,25,18,133,1
"1099",17,10,0,552,30,5,25,18,168,1
"1100",17,9,0,550,30,5,24,18,150,1
"1101",17,9,0,549,30,5,25,18,149,1
"1102",16,10,0,613,31,3,28,17,552,1
"1103",15,10,0,622,31,2,29,16,696,1
"1104",17,5,0,487,27,8,19,18,315,1
"1105",17,10,0,579,31,4,27,18,419,1
"1106",15,11,0,670,32,2,31,11,634,1
"1107",15,11,0,668,32,2,30,11,631,1
"1108",15,11,0,659,32,1,30,11,724,1
"1109",16,11,0,607,31,3,28,17,584,1
"1110",17,10,0,580,31,4,27,18,387,1
"1111",17,9,0,560,30,5,25,18,249,1
"1112",16,8,0,546,28,5,23,17,390,1
"1113",16,11,0,610,31,3,28,17,572,1
"1114",14,10,0,592,28,2,27,15,530,1
"1115",16,11,0,595,31,3,28,17,506,1
"1116",15,6,0,487,27,6,21,11,725,1
"1117",17,10,0,577,31,4,26,18,373,1
"1118",14,8,0,565,27,3,24,15,822,1
"1119",13,10,0,538,27,1,26,7,1111,1
"1120",14,11,0,609,30,2,28,15,869,1
"1121",15,10,0,591,29,2,27,15,777,1
"1122",15,11,0,608,30,2,28,15,778,1
"1123",17,10,0,586,31,4,27,18,402,1
"1124",16,10,0,599,31,3,28,17,578,1
"1125",14,10,0,565,28,2,26,15,682,1
"1126",16,10,0,603,31,3,28,17,589,1
"1127",17,9,0,557,30,5,25,18,128,1
"1128",15,10,0,555,28,3,26,16,538,1
"1129",15,10,0,555,28,3,26,15,584,1
"1130",15,10,0,555,29,3,25,16,490,1
"1131",15,10,0,559,29,3,26,16,529,1
"1132",15,10,0,560,29,3,26,16,478,1
"1133",16,10,0,556,29,4,26,16,423,1
"1134",16,10,0,554,29,3,25,16,444,1
"1135",16,10,0,560,29,3,26,16,445,1
"1136",15,10,0,562,29,3,26,16,513,1
"1137",15,10,0,561,29,3,26,16,525,1
"1138",15,10,0,553,28,3,25,16,507,1
"1139",16,10,0,553,29,4,25,16,422,1
"1140",15,10,0,558,29,3,26,16,492,1
"1141",16,10,0,553,29,4,25,17,357,1
"1142",16,10,0,552,29,4,25,17,315,1
"1143",16,10,0,550,29,4,25,17,325,1
"1144",16,10,0,552,29,4,25,17,355,1
"1145",16,10,0,553,29,4,26,17,364,1
"1146",16,10,0,552,29,4,25,17,350,1
"1147",16,10,0,592,31,4,28,17,498,1
"1148",16,10,0,552,29,4,25,17,374,1
"1149",16,10,0,550,29,4,25,17,294,1
"1150",16,10,0,553,29,4,25,17,362,1
"1151",16,10,0,551,29,4,25,17,330,1
"1152",16,10,0,552,29,4,25,17,336,1
"1153",16,10,0,552,29,4,25,17,333,1
"1154",17,10,0,565,30,5,26,18,208,1
"1155",17,10,0,567,30,5,26,18,244,1
"1156",17,10,0,564,30,5,25,18,205,1
"1157",17,9,0,559,30,5,25,18,136,1
"1158",17,10,0,563,30,5,25,18,188,1
"1159",17,10,0,569,30,5,26,18,248,1
"1160",17,9,0,559,30,5,25,18,136,1
"1161",17,10,0,564,31,5,26,18,152,1
"1162",17,10,0,564,31,5,26,18,142,1
"1163",17,9,0,555,30,5,24,18,162,1
"1164",18,9,0,552,30,6,24,19,109,1
"1165",18,9,0,551,30,6,24,19,91,1
"1166",17,10,0,576,31,5,27,18,331,1
"1167",15,10,0,553,28,3,25,16,483,1
"1168",16,10,0,553,29,4,25,17,367,1
"1169",15,10,0,555,28,3,25,16,503,1
"1170",14,10,0,554,27,2,25,15,672,1
"1171",15,10,0,558,28,3,25,16,561,1
"1172",15,10,0,557,28,3,25,16,539,1
"1173",17,9,0,542,29,5,24,17,249,1
"1174",17,9,0,543,29,5,24,18,217,1
"1175",16,9,0,544,29,4,24,17,272,1
"1176",15,10,0,555,29,3,25,16,458,1
"1177",18,9,0,550,30,6,25,19,228,1
"1178",17,9,0,560,30,5,25,18,139,1
"1179",18,9,0,558,30,6,25,19,94,1
"1180",18,9,0,559,30,5,25,19,113,1
"1181",17,9,0,553,30,5,25,18,176,1
"1182",17,9,0,552,30,5,24,18,168,1
"1183",17,9,0,551,30,6,24,19,135,1
"1184",18,9,0,550,30,6,24,19,100,1
"1185",17,9,0,552,30,5,24,18,175,1
"1186",17,8,0,550,30,6,24,18,152,1
"1187",16,8,0,555,29,5,24,17,377,1
"1188",16,8,0,554,28,5,23,17,367,1
"1189",18,9,0,547,30,6,24,19,89,1
"1190",18,9,0,547,30,6,24,19,89,1
"1191",18,9,0,547,30,6,24,19,95,1
"1192",18,11,0,569,31,5,27,18,119,1
"1193",18,10,0,568,32,5,26,19,84,1
"1194",17,11,0,577,31,4,27,18,270,1
"1195",17,11,0,577,31,4,27,18,276,1
"1196",17,11,0,576,31,4,27,17,290,1
"1197",18,10,0,564,32,5,26,19,32,1
"1198",18,10,0,565,32,5,26,19,32,1
"1199",18,10,0,567,32,5,27,19,92,1
"1200",16,11,0,578,30,3,27,17,413,1
"1201",16,11,0,577,30,3,27,17,409,1
"1202",16,11,0,579,30,3,27,16,444,1
"1203",17,11,0,573,31,4,27,18,191,1
"1204",18,10,0,568,31,5,27,18,107,1
"1205",16,8,0,557,28,4,24,17,477,1
"1206",16,8,0,556,28,4,24,17,494,1
"1207",17,9,0,548,30,6,24,18,130,1
"1208",17,9,0,548,30,6,24,18,140,1
"1209",17,9,0,548,30,6,24,18,136,1
"1210",17,9,0,548,30,5,24,18,150,1
"1211",17,8,0,529,29,6,22,18,131,1
"1212",17,8,0,526,28,7,22,19,106,1
"1213",17,8,0,529,29,6,22,19,116,1
"1214",17,8,0,517,28,6,22,18,104,1
"1215",17,8,0,522,28,6,22,18,188,1
"1216",17,10,0,576,31,5,26,18,357,1
"1217",17,9,0,562,30,5,25,18,221,1
